Số lầu,Chổ để xe hơi,name,Phòng ăn,Chiều dài,Địa chỉ,Đường trước nhà,Thuộc dự án,Mã tin,Pháp lý,Giá,Nhà bếp,Chính chủ,Sân thượng,Hướng,Loại tin,Chiều ngang,Số phòng ngủ,Loại BDS
8,true,"Siêu tòa căn hộ dịch vụ view biển - 8 tầng 14 phòng VIP - Đường 15,5m Sơn Trà - Doanh thu",true,12m,"Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng",15m,,12734620,Sổ hồng/ Sổ đỏ,"25 triệu / m
2
  ",true,---,true,_,Cần bán,17m,14,"Nhà hàng, khách sạn"
3,true,Cần bán gấp nhà 3 tầng ngay biển Mỹ Khê khu phố Tây .,true,16m,"Đường Tô Hiến Thành, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng",6m,,12731225,---,"8,4 tỷ",true,---,true,Đông,Cần bán,5m,4,Nhà mặt tiền
2,true,Nhà 2 tầng sát biển Mỹ Khê khu phố Tây sầm uất nhất Đà Nẵng,true,21m,"55 Đường Ngô Thì Sĩ, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng","7,5m",,12721269,---,"13,8 tỷ",true,---,true,_,Cần bán,5m,4,Nhà mặt tiền
1,true,Cần bán gấp biệt thự sân vườn caphe ngay trung tâm quận liên chiểu .,true,20m,"36-38 Đường Nguyễn Khuyến, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng","7,5m",,12635634,---,"9,9 tỷ",true,---,true,Đông Bắc,Cần bán,10m,2,Nhà mặt tiền
10,---,"Bán toà nhà 2mt Đống Đa, Lý Tự Trọng, dtd: 240m2, dtsd: 2300m, 72 tỷ, thương lượng",---,24m,"191 Đường Đống Đa, Phường Thạch Thang, Quận Hải Châu, Đà Nẵng",15m,,12734876,Sổ hồng/ Sổ đỏ,72 tỷ,---,---,---,Tây Nam,Cần bán,10m,50,"Nhà hàng, khách sạn"
2,---,"🔥🔥🔥BÁN NHÀ 2T SÁT CHỢ MIẾU BÔNG- Diện tích 160m2- ĐƯỜNG RỘNG RÃI- Ô TÔ BĂNG BĂNG- 1,x",---,---,"Quốc lộ 1A, Xã Hòa Phước, Huyện Hòa Vang, Đà Nẵng",7m,,12734001,---,"1,89 tỷ",---,---,---,_,Cần bán,"6,5m",3,Nhà mặt tiền
---,---,"CHÍNH CHỦ CẦN BÁN NHÀ 3 TẦNG 2 MẶT KIỆT VÀ ĐẤT LIỀN KỀ ĐƯỜNG TRẦN CAO VÂN, ĐÀ NẴNG",---,---,"Đường Trần Cao Vân, Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng",---,,12659606,---,8 tỷ,---,---,---,_,Cần bán,---,---,Nhà trong hẻm
2,---,Bán nhà MP Bạch Đằng VIP nhất Đà Nẵng 180m hơn 80 tỷ.,---,12m,"Đường Bạch Đằng, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng",13m,,12726097,Sổ hồng/ Sổ đỏ,83 tỷ,---,---,---,_,Cần bán,7m,4,Nhà mặt tiền
2,true,"Bán Nhà Đường Bạch Đằng, Vị Trí Vàng, Mặt Sông Hàn, Phố Đi Bộ, 170m2, Giá 83 Tỷ",true,24m,"Đường Bạch Đằng, Phường Hải Châu I, Quận Hải Châu, Đà Nẵng",15m,,12719579,Sổ hồng/ Sổ đỏ,83 tỷ,true,---,true,_,Cần bán,"6,5m",3,Nhà mặt tiền
2,true,Chỉ 7.3 tỷ có ngay nhà 2 tầng ngang 7m5 mặt tiền Lê Văn Thứ,true,17m,"Đường Lê Văn Thứ, Phường Mân Thái, Quận Sơn Trà, Đà Nẵng","5,5m",,12733662,Sổ hồng/ Sổ đỏ,"7,3 tỷ",true,---,---,Nam,Cần bán,"7,5m",3,Nhà mặt tiền
20,true,"CHỈ VỚI 700TR - SỞ HỮU NGAY CĂN HỘ 2PN – VEN SÔNG, CÁCH BIỂN CHỈ 1.5KM",true,---,"Đường Võ Chí Công, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng",---,Căn hộ chung cư FPT Plaza (xem chi tiết dự án),12398677,---,"27 triệu / m
2
  ",true,---,true,_,Cần bán,---,2,Căn hộ chung cư
3,---,"Chuyển nhượng căn góc hoa hậu biệt thự Regal Victoria, 2 mặt tiền, suất ngoại giao cuối cù",---,---,"Đường Võ Nguyên Giáp, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng",15m,,11755800,Sổ hồng/ Sổ đỏ,28 tỷ,---,---,---,_,Cần bán,---,5,Nhà mặt tiền
