name,Số phòng ngủ,Pháp lý,Hướng ban công,Hướng nhà,Address,Nội thất,Mặt tiền,Diện tích,Đường vào,Số toilet,Mức giá,Số tầng
Chính chủ cần nhượng lại căn villa mặt tiền đường Lê Hồng Phong ngay trung tâm TP Đà Nẵng,4 phòng,Sổ đỏ/ Sổ hồng,Nam,Nam,"https://www.google.com/maps/embed/v1/place?q=16.063996,108.221424&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",Đầy đủ,,271 m²,,4 phòng,45 tỷ,3 tầng
"Chính chủ cần bán đất tại phường Thọ Quang, quận Sơn Trà, thành phố Đà Nẵng",,Sổ đỏ/ Sổ hồng,,Đông - Nam,"https://www.google.com/maps/embed/v1/place?q=16.1079662,108.2582587&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,4.5 m,90 m²,,,3.5 tỷ,
Bán đất dự án 100 m2 thuộc Sơn Trà mặt biển Mỹ Khê,,Sổ đỏ/ Sổ hồng,,Nam,,,5 m,100.5 m²,,,4 tỷ,
"Chính chủ, bán nhà TTTP Đà Nẵng, full nội thất, an ninh cao, giá 6.75 tỷ, hỗ trợ vay vốn nhanh",4 phòng,Sổ đỏ/ Sổ hồng,Tây - Nam,Tây - Nam,"https://www.google.com/maps/embed/v1/place?q=16.0566169,108.1849261&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",Đầy đủ,5 m,105 m²,7.5 m,4 phòng,6.75 tỷ,3 tầng
Hàng hiếm lô góc kinh doanh Phùng Hưng gần biển Nguyễn Sinh Sắc - Đà Nẵng,,Sổ đỏ/ Sổ hồng,,Tây - Bắc,"https://www.google.com/maps/embed/v1/place?q=16.0980814312618,108.130182272821&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,11.4 m,225 m²,10.5 m,,13 tỷ,
"HÃY SỞ HỮU NGAY CĂN HỘ TẠI THE ORI GARDEN CHỈ VỚI 3,8TR/THÁNG, NGÂN HÀNG HỖ TRỢ 80%. 0906 968 ***",2 phòng,,,,"https://www.google.com/maps/embed/v1/place?q=16.0923728942871,108.126586914063&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,59.2 m²,,,16 triệu/m²,
"Tôi chính chủ cần bán gấp nhà xưởng mặt tiền Võ Chí Công, Quận Cẩm Lệ, Đà Nẵng",,,,,"https://www.google.com/maps/embed/v1/place?q=16.0063826,108.2208631&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,15 m,279 m²,,,86 triệu/m²,
"Chính chủ cần chuyển nhượng lại dự án đã có đủ giấy phép xây dựng, nằm mặt tiền đường Trường Sơn",,,,,"https://www.google.com/maps/embed/v1/place?q=16.011646,108.1732255&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,45 m,8500 m²,,,11 triệu/m²,
Bán nhanh nhà riêng (chính chủ) 535m2,15 phòng,Sổ đỏ/ Sổ hồng,,Tây,"https://www.google.com/maps/embed/v1/place?q=16.0792406,108.2149453&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,535 m²,,11 phòng,29.5 tỷ,1 tầng
Bán căn hộ Monarchy 3 phòng ngủ đã cải tạo sang xịn,3 phòng,Đang chờ sổ,,,"https://www.google.com/maps/embed/v1/place?q=16.05614471435547,108.23332214355469&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",Cơ bản,,98 m²,,2 phòng,4.8 tỷ,
