Diện tích,Lượt xem,Số tầng,Hướng,name,Mức giá,Địa chỉ,Số phòng
100m2,255,, Tây Bắc,"BÁN ĐẤT ĐƯỜNG LÊ QUẢNG CHÍ, ĐƯỜNG THÔNG, VỊ TRÍ KINH DOANH BUÔN BÁN",7.1 tỷ," lê quảng chí, Cẩm Lệ, Đà Nẵng",
360m2,253,, Tây Nam,3 LÔ LIỀN KỀ GẦN CẦU HÒA XUÂN - ĐƯỜNG TRUNG LƯƠNG 18,16.8 tỷ," Trung Lương 18, Cẩm Lệ, Đà Nẵng",
100m2,236,, Đông Nam,BÁN LÔ ĐẤT ĐÔNG NAM - MẶT TIỀN MAI CHÍ THỌ - KHU ĐẢO VIP SIÊU ĐẸP,5.3 tỷ," MAI CHÍ THỌ, Cẩm Lệ, Đà Nẵng",
250m2,245,, Tây Bắc,BÁN BIỆT THỰ ĐƯỜNG CHẾ VIẾT TẤN VIEW KÊNH THOÁNG MÁT - HÒA XUÂN,13.8 tỷ," CHẾ VIẾT TẤN, Cẩm Lệ, Đà Nẵng",
315m2,258,, Tây Nam,CHÀO BÁN SIÊU PHẨM BT 3 TẦNG ĐƯỜNG LÊ QUANG HOÀ - HOÀ XUÂN - TP ĐÀ NẴNG,20 tỷ," LÊ QUANG HÒA, Hoà Hiệp Bắc, Liên Chiểu, Đà Nẵng",
300m2,391, 2, Đông Nam,CHÀO BÁN SIÊU PHẨM BT 2 TẦNG ĐƯỜNG NGUYỄN VĂN THÔNG - HOÀ XUÂN - TP ĐÀ NẴNG,17 tỷ," Nguyễn Văn Thông, Cẩm Lệ, Đà Nẵng", 6
300m2,391, 2, Đông Nam,CHÀO BÁN SIÊU PHẨM BT 2 TẦNG ĐƯỜNG NGUYỄN VĂN THÔNG - HOÀ XUÂN - TP ĐÀ NẴNG,17 tỷ," Nguyễn Văn Thông, Cẩm Lệ, Đà Nẵng", 6
121m2,299,, Tây Nam,"BÁN ĐẤT ĐƯỜNG TRUNG LƯƠNG 16 , ĐẢO VÍP , HÒA XUÂN .",4.85 tỷ," trung lương 16, Hoà Xuân , Cẩm Lệ, Đà Nẵng",
121m2,260,, Tây Nam,"BÁN ĐẤT ĐƯỜNG TRUNG LƯƠNG 16 , ĐẢO VÍP , HÒA XUÂN .",4.85 tỷ," trung lương 16, Hoà Xuân , Cẩm Lệ, Đà Nẵng",
121m2,261,, Tây Nam,"BÁN ĐẤT ĐƯỜNG TRUNG LƯƠNG 16 , ĐẢO VÍP , HÒA XUÂN .",4.85 tỷ," trung lương 16, Hoà Xuân , Cẩm Lệ, Đà Nẵng",
121m2,261,, Tây Nam,"BÁN ĐẤT ĐƯỜNG TRUNG LƯƠNG 16 , ĐẢO VÍP , HÒA XUÂN .",4.85 tỷ," trung lương 16, Hoà Xuân , Cẩm Lệ, Đà Nẵng",
100m2,227,, Đông Bắc,BÁN NHÀ 3TẦNG ĐƯỜNG NGÔ HUY DIỄN GẦN CẦU HOÀ XUÂN,7.3 tỷ," Ngô Huy Diễn, Hoà Xuân , Cẩm Lệ, Đà Nẵng",
100m2,306,, Đông Nam,CẦN BÁN LÔ ĐẤT HOÀNG HIỆP HÒA XUÂN – GIÁ BÁN 3 TỶ 9,3.9 tỷ," Cẩm Lệ, Đà Nẵng",
176m2,259, 4, Đông,BÁN NHÀ ĐƯỜNG NGUYỄN HỮU THỌ 4 TẦNG HƯỚNG ĐÔNG DIỆN TÍCH LỚN,16 tỷ," Nguyễn Hữu Thọ, Khuê Trung, Cẩm Lệ, Đà Nẵng", 10
100m2,210,, Tây Nam,TÔI CẦN TIỀN BÁN GẤP LÔ HUỲNH NGỌC ĐỦ - SÁT CẦU NGUYỄN TRI PHƯƠNG – GÍA BÁN GẤP 4 TỶ 2 THƯƠNG LƯỢNG,4.2 tỷ," Huỳnh Ngọc đủ, Cẩm Lệ, Đà Nẵng",
300m2,228, 2, Đông Nam,BÁN VÀI CĂN BIỆT THỰ KHU ĐÔ THỊ SINH THÁI HOÀ XUÂN,16 triệu," Nguyễn Văn Thông, Hoà Xuân , Cẩm Lệ, Đà Nẵng", 4
100m2,209,, Đông Nam,CẦN BÁN GẤP LÔ ĐẤT TRUNG LƯƠNG 10 KHU ĐẢO VIP HÒA XUÂN – GẦN SÔNG GIÁ BÁN 4 TỶXX,4.55 tỷ," Trung Lương 10, Cẩm Lệ, Đà Nẵng",
100m2,231, 3, Đông Bắc,BÁN NHÀ 3 TẦNG ĐƯỜNG TRẦN KIM XUYẾN - HOÀ XUÂN - TP ĐÀ NẴNG,5.8 tỷ," Trần Kim Xuyến, Hoà Xuân , Cẩm Lệ, Đà Nẵng", 3
100m2,321,, Tây Bắc,BÁN LÔ ĐẤT ĐẢO VIP ĐƯỜNG TRUNG LƯƠNG 11 VIEW CÔNG VIÊN GIÁ TỐT,4.65 tỷ," Trung Lương 11, Cẩm Lệ, Đà Nẵng",
100m2,315,, Tây Nam,CHÍNH CHỦ CẦN BÁN LÔ DIỆP MINH CHÂU GIÁ RẺ - KHU ĐÔ THỊ SINH THÁI HÒA XUÂN,3.59 tỷ," diệp minh châu, Cẩm Lệ, Đà Nẵng",
100m2,281,, Tây Bắc,CHÍNH CHỦ BÁN ĐẤT ĐƯỜNG HOÀNG HIỆP - HÒA XUÂN - CẨM LỆ - ĐÀ NẴNG,3.85 tỷ," HOÀNG HIỆP, Cẩm Lệ, Đà Nẵng",
125m2,268, 3, Tây,CHÀO BÁN NHÀ NGUYỄN HỮU THỌ - VỊ TRÍ KINH DOANH HÀNG ĐẦU,16.5 tỷ," NGUYỄN HỮU THỌ, Cẩm Lệ, Đà Nẵng", 4
252m2,270,, Không xác định,ĐẤT 2MT ĐƯỜNG LÊ QUẢNG CHÍ - VŨ XUÂN THIỀU - HÒA XUÂN,21.7 tỷ," lê quảng chí, Hoà Xuân , Cẩm Lệ, Đà Nẵng",
"97,5m2",226,, Đông Nam,TÔI CẦN BÁN ĐẤT ĐƯỜNG THANH LƯƠNG 5 HƯỚNG ĐÔNG NAM GẦN SÔNG- HÒA XUÂN- CẨM LỆ,3.65 tỷ," THANH LƯƠNG 5, Cẩm Lệ, Đà Nẵng",
200m2,259,, Không xác định,BÁN LÔ ĐẤT ĐƯỜNG DIÊN HỒNG,5.25 tỷ," Diên Hồng, Cẩm Lệ, Đà Nẵng",
100m2,242,, Đông Nam,CHÍNH CHỦ CẦN BÁN LÔ ĐẤT ĐƯỜNG TRUNG LƯƠNG 10 - ĐẢO VIP - HÒA XUÂN,4.56 tỷ," TRUNG LƯƠNG 10, Cẩm Lệ, Đà Nẵng",
254m2,220,, Đông Bắc,ÁN LÔ GÓC VỊ TRÍ ĐỘC NHẤT VÔ NHỊ ĐƯỜNG NGUYỄN VĂN THÔNG GẦN CẦU HX,Liên hệ," Nguyễn Văn Thông, Cẩm Lệ, Đà Nẵng",
175m2,357,, Đông,BÁN NHÀ NGUYỄN HỮU THỌ GẦN ĐIỆN MÁY XANH,16 tỷ," Nguyễn Hữu Thọ, Hoà Xuân , Cẩm Lệ, Đà Nẵng",
100m2,268,, Đông,CHÍNH CHỦ CẦN BÁN LÔ ĐẤT VỊ TRÍ SẠCH ĐẸP ĐƯỜNG LỖ GIÁNG 24 NAM CẨM LỆ HÒA XUÂN.,2.98 tỷ," lỗ giáng 24, Cẩm Lệ, Đà Nẵng",
100m2,344,, Tây Nam,CHÍNH CHỦ CẦN BÁN LÔ ĐẤT THANH LƯƠNG 28 KẸP CỐNG HÒA XUÂN - SIÊU SẠCH ĐẸP,3.98 tỷ," thanh lương 28, Cẩm Lệ, Đà Nẵng",
143m2,331,, Bắc,NHÀ ĐẸP CẦN BÁN ĐƯỜNG BÀU TRÀM 3,5.7 tỷ," Bàu Tràm 3, Cẩm Lệ, Đà Nẵng",
100m2,265,, Tây Nam,CHÍNH CHỦ CẦN BÁN THANH LƯƠNG 28 KẸP CỐNG - HÒA XUÂN,3.98 tỷ," Cẩm Lệ, Đà Nẵng",
100m2,341,, Không xác định,SIÊU RẺ SIÊU ĐẸP LÔ ĐẤT ĐƯỜNG NGUYỄN MẬU TÀI,5.2 tỷ," Cẩm Lệ, Đà Nẵng",
100m2,302,, Đông Nam,BÁN NHÀ ĐẸP 2 TẦNG HƯỚNG ĐÔNG NAM ĐƯỜNG THANH LƯƠNG 8 HOÀ XUÂN.,Liên hệ," Thanh Lương 8, Hoà Xuân , Cẩm Lệ, Đà Nẵng",
125m2,269, 3, Tây,CHÀO BÁN NHÀ NGUYỄN HỮU THỌ - VỊ TRÍ KINH DOANH HÀNG ĐẦU,16.5 tỷ," NGUYỄN HỮU THỌ, Cẩm Lệ, Đà Nẵng", 4
