,Unnamed: 0,index,Name,Point,DistrictPoint,WardPoint,WidthRoad
0,0.0,0.0,3/2,1,1.0,17.0,27.5
1,1.0,1.0,30/4,2,1.0,27.0,3.75
2,2.0,2.0,2/9,3,1.0,23.0,21.0
3,3.0,3.0,Phan Đình Giót,4,,,
4,4.0,4.0, Lý Tế Xuyên,5,,,
5,5.0,5.0, Nguyễn Trác,6,,,
6,6.0,6.0, Phạm Thiều,7,,,
7,7.0,7.0, Phan Bội Châu,8,,,
8,8.0,8.0, Phần Lăng 1,9,,,
9,9.0,9.0, Phần Lăng 2,10,,,
10,10.0,10.0, Phần Lăng 3,11,,,
11,11.0,11.0, Phần Lăng 4,12,,,
12,12.0,12.0, Phần Lăng 5,13,,,
13,13.0,13.0, Phong Bắc,14,,,
14,14.0,14.0, Quán Khải 1,15,,,
15,15.0,15.0, Tân An 1,16,,,
16,16.0,16.0, Tân An 3,17,,,
17,17.0,17.0, Tân An2,18,,,
18,18.0,18.0, Tôn Thất Đạm,19,,,
19,19.0,19.0, Triệu Nữ Vương,20,,,
20,20.0,20.0, Văn Cận,21,,,
21,21.0,21.0, Vân Đài Nữ Sĩ,22,,,
22,22.0,22.0, Vũ Ngọc Phan,23,,,
23,23.0,23.0, Xuân Đán 2,24,,,
24,24.0,24.0,Alexandre Yersin (Yersin),25,,,
25,25.0,25.0,An Bắc 2,26,,,
26,26.0,26.0,An Bắc 3,27,,,
27,27.0,27.0,An Cư 1,28,5.0,33.0,3.75
28,28.0,28.0,An Cư 2,29,5.0,33.0,3.75
29,29.0,29.0,An Cư 3,30,,,
30,30.0,30.0,An Cư 4,31,5.0,32.0,5.5
31,31.0,31.0,An Cư 5,32,5.0,32.0,5.5
32,32.0,32.0,An Cư 6,33,,,
33,33.0,33.0,An Cư 7,34,5.0,32.0,5.5
34,34.0,34.0,An Dương Vương,35,6.0,36.0,15.0
35,35.0,35.0,An Đồn 1,36,,,
36,36.0,36.0,An Đồn 2,37,,,
37,37.0,37.0,An Đồn 3,38,,,
38,38.0,38.0,An Đồn 4,39,5.0,32.0,7.5
39,39.0,39.0,An Đồn 5,40,5.0,32.0,5.5
40,40.0,40.0,An Hải 1,41,5.0,32.0,2.5
41,41.0,41.0,An Hải 10,42,5.0,32.0,3.5
42,42.0,42.0,An Hải 11,43,5.0,32.0,3.5
43,43.0,43.0,An Hải 12,44,5.0,32.0,3.5
44,44.0,44.0,An Hải 14,45,5.0,32.0,3.75
45,45.0,45.0,An Hải 15,46,5.0,32.0,4.0
46,46.0,46.0,An Hải 16,47,,,
47,47.0,47.0,An Hải 17,48,5.0,32.0,4.0
48,48.0,48.0,An Hải 18,49,5.0,31.0,4.0
49,49.0,49.0,An Hải 19,50,,,
50,50.0,50.0,An Hải 2,51,,,
51,51.0,51.0,An Hải 20,52,5.0,30.0,5.5
52,52.0,52.0,An Hải 21,53,,,
53,53.0,53.0,An Hải 3,54,5.0,35.0,5.5
54,54.0,54.0,An Hải 4,55,5.0,32.0,5.5
55,55.0,55.0,An Hải 5,56,5.0,32.0,3.5
56,56.0,56.0,An Hải 6,57,5.0,32.0,3.5
57,57.0,57.0,An Hải 7,58,5.0,32.0,5.5
58,58.0,58.0,An Hải 8,59,,,
59,59.0,59.0,An Hải 9,60,,,
60,60.0,60.0,An Hải Bắc 1,61,,,
61,61.0,61.0,An Hải Bắc 2,62,,,
62,62.0,62.0,An Hải Bắc 3,63,,,
63,63.0,63.0,An Hải Bắc 4,64,5.0,32.0,7.5
64,64.0,64.0,An Hải Bắc 5,65,,,
65,65.0,65.0,An Hải Bắc 6,66,,,
66,66.0,66.0,An Hải Bắc 7,67,,,
67,67.0,67.0,An Hải Bắc 8,68,5.0,32.0,3.75
68,68.0,68.0,An Hoà 1,69,4.0,40.0,7.5
69,69.0,69.0,An Hoà 10,70,,,
70,70.0,70.0,An Hoà 11,71,,,
71,71.0,71.0,An Hoà 12,72,,,
72,72.0,72.0,An Hoà 2,73,,,
73,73.0,73.0,An Hoà 3,74,,,
74,74.0,74.0,An Hoà 4,75,,,
75,75.0,75.0,An Hoà 5,76,,,
76,76.0,76.0,An Hoà 6,77,,,
77,77.0,77.0,An Hoà 7,78,,,
78,78.0,78.0,An Hoà 8,79,,,
79,79.0,79.0,An Hoà 9,80,,,
80,80.0,80.0,An Nông,81,,,
81,81.0,81.0,An Nhơn 1,82,5.0,32.0,5.5
82,82.0,82.0,An Nhơn 10,83,5.0,32.0,3.75
83,83.0,83.0,An Nhơn 11,84,5.0,32.0,3.75
84,84.0,84.0,An Nhơn 2,85,5.0,32.0,5.5
85,85.0,85.0,An Nhơn 3,86,5.0,32.0,5.5
86,86.0,86.0,An Nhơn 4,87,5.0,32.0,3.75
87,87.0,87.0,An Nhơn 5,88,,,
88,88.0,88.0,An Nhơn 6,89,,,
89,89.0,89.0,An Nhơn 7,90,5.0,32.0,3.5
90,90.0,90.0,An Nhơn 8,91,,,
91,91.0,91.0,An Nhơn 9,92,5.0,32.0,3.75
92,92.0,92.0,An Tư Công Chúa,93,6.0,36.0,7.5
93,93.0,93.0,An Thượng 1,94,6.0,36.0,7.5
94,94.0,94.0,An Thượng 10,95,6.0,36.0,5.5
95,95.0,95.0,An Thượng 11,96,,,
96,96.0,96.0,An Thượng 12,97,6.0,37.0,3.5
97,97.0,97.0,An Thượng 14,98,6.0,36.0,3.5
98,98.0,98.0,An Thượng 15,99,6.0,36.0,5.5
99,99.0,99.0,An Thượng 16,100,6.0,36.0,3.5
100,100.0,100.0,An Thượng 17,101,6.0,36.0,5.5
