,BedRoooms,Width,Square,Length,Floors,Kitchen,DiningRoom,Type,Juridical,CarParking,Direction,Rooftop,PricePerMet,DistrictPoint,WardPoint,RoadPoint,WidthRoad
0,14.0,17.0,1600.0,12.0,8.0,1,1,1,1.0,1,,1,25.0,5,33.0,,15.0
1,4.0,5.0,80.0,16.0,3.0,1,1,14,,1,6.0,1,105.0,5,33.0,1413.0,6.0
2,4.0,5.0,105.0,21.0,2.0,1,1,14,,1,,1,131.43,6,36.0,1690.0,7.5
3,2.0,10.0,200.0,20.0,1.0,1,1,14,,1,2.0,1,49.5,2,5.0,1069.0,5.0
4,50.0,10.0,2300.0,24.0,10.0,0,0,1,1.0,0,7.0,0,31.3,1,18.0,462.0,21.0
5,3.0,6.5,160.0,,2.0,0,0,14,,0,,0,11.81,7,55.0,,7.0
6,,,178.0,,,0,0,9,,0,,0,44.94,3,9.0,1510.0,10.5
7,4.0,7.0,180.0,12.0,2.0,0,0,14,1.0,0,,0,461.11,1,16.0,150.0,12.0
8,3.0,6.5,170.0,24.0,2.0,1,1,14,1.0,1,,1,488.24,1,19.0,150.0,12.0
9,3.0,7.5,130.0,17.0,2.0,1,1,14,1.0,1,4.0,0,56.15,5,31.0,772.0,6.0
10,2.0,,77.0,,20.0,1,1,15,,1,,1,27.0,6,39.0,1691.0,
11,5.0,,802.0,,3.0,0,0,14,1.0,0,,0,34.91,6,39.0,1692.0,15.0
12,3.0,,150.0,,3.0,0,0,14,,0,,0,80.0,7,52.0,,20.0
13,2.0,4.0,80.0,,2.0,1,1,14,1.0,1,,1,46.25,5,32.0,721.0,6.0
14,3.0,4.5,80.0,80.0,3.0,1,1,14,1.0,1,,1,50.0,5,33.0,1004.0,9.0
15,4.0,4.0,80.0,20.0,3.0,1,1,14,1.0,1,2.0,1,73.75,3,15.0,658.0,10.5
16,,,96.0,,,0,0,14,,0,,0,130.21,3,,1619.0,6.0
17,2.0,,73.0,,2.0,0,0,15,1.0,0,,0,10.96,6,38.0,1691.0,
