,Unnamed: 0,Type,BedRoooms,Juridical,Direction,Width,Square,Floors,PricePerMet,DistrictPoint,WardPoint,RoadPoint,WidthRoad
0,0,2,4.0,1.0,9.0,,271.0,3.0,166.05,1.0,21.0,,
1,1,2,,1.0,5.0,4.5,90.0,,38.89,5.0,29.0,,
2,2,13,,1.0,9.0,5.0,100.5,,39.8,,,,
3,3,2,4.0,1.0,7.0,5.0,105.0,3.0,64.29,3.0,14.0,1949.0,7.5
4,4,2,,1.0,4.0,11.4,225.0,,57.78,2.0,2.0,,10.5
5,5,5,2.0,,,,59.2,,16.0,2.0,2.0,,
6,6,2,,,,15.0,279.0,,86.0,4.0,45.0,1691.0,
7,7,2,,,,45.0,8500.0,,11.0,4.0,43.0,1613.0,21.0
8,8,2,15.0,1.0,6.0,,535.0,1.0,55.14,1.0,16.0,523.0,6.0
9,9,5,3.0,,,,98.0,,48.98,5.0,34.0,1222.0,6.0
10,10,2,2.0,1.0,4.0,,68.6,,24.78,6.0,39.0,,
11,11,5,2.0,1.0,,,75.0,,22.67,6.0,39.0,,
12,12,2,,,,45.0,3814.0,,35.0,5.0,29.0,1860.0,5.5
13,13,2,,,,18.15,400.0,,138.0,2.0,5.0,1108.0,48.0
14,14,2,,,,,600.0,,,5.0,33.0,1692.0,15.0
15,15,2,,,,,2000.0,,,5.0,33.0,1861.0,30.0
16,16,5,,,,,70.0,,25.71,6.0,39.0,,
17,17,2,2.0,1.0,3.0,,68.5,,26.28,6.0,39.0,,
18,18,2,2.0,1.0,7.0,,87.5,2.0,97.14,5.0,32.0,1365.0,5.5
19,19,2,,1.0,7.0,,128.8,,12.19,7.0,,2077.0,5.5
20,20,2,,,,7.0,150.0,,9.33,7.0,,2075.0,7.5
21,21,14,,1.0,8.0,15.0,375.0,,55.0,2.0,5.0,1108.0,48.0
22,22,2,1.0,1.0,9.0,,32.0,,18.38,3.0,13.0,1146.0,16.0
23,23,2,5.0,,7.0,5.0,100.0,4.0,54.5,4.0,44.0,1740.0,5.5
24,24,14,,1.0,,,100.0,6.0,,6.0,36.0,,
25,25,2,2.0,2.0,5.0,,59.6,,20.13,2.0,2.0,,
26,26,4,5.0,1.0,9.0,6.0,120.0,4.0,120.83,1.0,27.0,1663.0,21.0
27,27,5,2.0,,9.0,,63.0,,,5.0,35.0,1861.0,30.0
28,28,2,2.0,,,,59.0,,16.0,2.0,2.0,,
29,29,3,52.0,1.0,,9.0,180.0,14.0,361.11,3.0,9.0,1815.0,11.0
30,30,2,,1.0,2.0,5.0,150.0,,,6.0,39.0,,15.0
31,31,2,,1.0,8.0,15.0,1000.0,,14.0,7.0,43.0,1613.0,21.0
32,32,2,,1.0,,,100.0,,24.5,6.0,38.0,1335.0,
33,33,2,5.0,1.0,7.0,6.0,69.0,4.0,81.16,6.0,36.0,1694.0,7.5
34,34,2,,,,6.0,120.0,4.0,,1.0,27.0,1663.0,21.0
35,35,2,2.0,,,,69.6,,40.23,3.0,13.0,1234.0,6.0
36,36,2,,,,,100.0,,15.5,7.0,,2075.0,7.5
37,37,2,,1.0,5.0,5.0,150.0,,101.33,1.0,28.0,1663.0,21.0
38,38,2,,1.0,,,1800.0,,,6.0,36.0,1835.0,25.0
39,39,14,4.0,,6.0,,400.0,,,6.0,36.0,1692.0,15.0
40,40,2,2.0,1.0,2.0,,70.0,,24.29,6.0,39.0,,
41,41,2,,,,,170.0,,464.71,1.0,19.0,,
42,42,2,4.0,1.0,3.0,4.0,52.2,3.0,68.77,1.0,18.0,1125.0,8.0
43,43,2,3.0,,,,67.0,2.0,51.49,5.0,35.0,1004.0,9.0
44,44,5,2.0,1.0,5.0,,40.0,,60.0,6.0,36.0,,
45,45,5,2.0,1.0,5.0,,40.0,1.0,60.0,6.0,36.0,,
46,46,2,,1.0,9.0,10.0,200.0,,65.0,6.0,39.0,,7.5
47,47,5,1.0,,,,54.0,,29.63,5.0,29.0,415.0,10.5
48,48,4,5.0,1.0,5.0,6.0,120.0,4.0,116.67,1.0,27.0,1663.0,21.0
49,49,14,,,,,60.0,,75.0,6.0,36.0,307.0,5.0
50,50,2,,1.0,2.0,30.0,1000.0,,350.0,5.0,33.0,1692.0,15.0
51,51,2,2.0,1.0,6.0,,58.0,,16.0,2.0,2.0,,
52,52,2,3.0,1.0,4.0,,140.0,,,6.0,36.0,,
53,53,2,,,7.0,36.5,921.0,,,6.0,36.0,438.0,10.5
54,54,2,,1.0,5.0,11.78,371.9,,198.98,1.0,18.0,1125.0,8.0
55,55,2,,1.0,9.0,6.5,113.0,,6.28,,,,27.0
56,56,2,5.0,1.0,,11.0,415.0,2.0,81.93,6.0,36.0,149.0,4.0
57,57,11,,,5.0,7.5,198.0,6.0,110.1,5.0,31.0,1989.0,7.0
58,58,2,,,,,220.0,,48.64,5.0,30.0,318.0,7.5
59,59,2,2.0,1.0,7.0,5.0,54.5,2.0,75.05,3.0,13.0,1146.0,16.0
60,60,2,,,,,1500.0,,,6.0,36.0,987.0,24.0
61,61,11,,,,,450.0,12.0,,1.0,22.0,1478.0,7.5
62,62,2,,,,,4000.0,,,,,,
63,63,4,,1.0,,,100.0,7.0,150.0,6.0,36.0,,
64,64,14,,1.0,,,6000.0,,0.33,7.0,,,
65,65,14,4.0,1.0,8.0,10.0,201.0,3.0,53.73,4.0,45.0,1866.0,15.0
66,66,5,2.0,,,,59.0,,16.0,2.0,2.0,,
67,67,2,,1.0,2.0,,1044.0,,,5.0,33.0,1692.0,15.0
68,68,2,,,,,700.0,,350.0,5.0,33.0,1692.0,15.0
69,69,2,,1.0,,,140.0,,,6.0,36.0,,
70,70,2,,1.0,4.0,22.0,540.0,,70.0,6.0,39.0,,48.0
71,71,14,,1.0,,,616.3,,50.3,6.0,39.0,1612.0,15.0
72,72,2,,,,5.0,106.0,,29.25,4.0,42.0,1171.0,
73,73,14,1.0,1.0,,11.5,190.0,1.0,44.74,1.0,21.0,1445.0,10.5
74,74,2,2.0,1.0,7.0,3.3,47.0,3.0,62.77,1.0,16.0,423.0,5.5
75,75,2,,,,,1000.0,,110.0,5.0,31.0,974.0,48.0
76,76,5,2.0,,,,68.0,,25.0,6.0,39.0,,
77,77,2,3.0,,,,96.3,,36.86,5.0,29.0,415.0,10.5
78,78,5,2.0,1.0,3.0,,61.0,,62.3,5.0,35.0,1861.0,30.0
79,79,14,3.0,,,,320.0,,78.12,6.0,37.0,,
80,80,2,,1.0,4.0,5.2,120.0,,37.5,3.0,14.0,1094.0,8.5
81,81,5,2.0,,,,59.0,,16.0,2.0,2.0,,
82,82,2,4.0,1.0,2.0,,117.5,3.0,77.45,2.0,4.0,,
83,83,2,,1.0,3.0,6.0,54.0,,55.37,6.0,36.0,733.0,7.5
84,84,2,,1.0,2.0,6.0,180.0,,,6.0,39.0,,7.5
85,85,2,,1.0,6.0,50.0,4700.0,,0.74,7.0,,1950.0,4.0
86,86,2,2.0,1.0,,,40.0,2.0,58.75,3.0,15.0,514.0,7.0
87,87,2,2.0,1.0,9.0,,65.0,,19.23,5.0,30.0,2280.0,
88,88,14,3.0,1.0,,24.0,193.7,4.0,139.39,1.0,22.0,,7.5
89,89,14,5.0,1.0,,10.0,200.0,3.0,85.0,6.0,37.0,916.0,7.5
90,90,2,,1.0,,45.0,473.0,,143.76,1.0,28.0,2038.0,7.5
91,91,2,,,8.0,,86.9,,,,,,
92,92,2,,1.0,,,100.0,,25.0,4.0,42.0,1418.0,6.0
93,93,5,7.0,1.0,2.0,4.0,70.0,4.0,105.0,6.0,36.0,149.0,5.5
94,94,2,,1.0,,45.0,2700.0,,85.0,2.0,3.0,988.0,6.0
95,95,2,,,4.0,,150.0,,8.67,7.0,,,
96,96,2,,1.0,7.0,25.5,535.0,,,6.0,36.0,438.0,10.5
97,97,2,,1.0,2.0,10.0,200.0,,200.0,5.0,34.0,1871.0,7.5
98,98,2,,,5.0,4.5,85.5,4.0,,3.0,13.0,527.0,8.0
99,99,2,,1.0,,,170.0,,57.0,5.0,35.0,1488.0,5.5
100,100,5,2.0,,4.0,,70.25,,22.78,6.0,39.0,,
101,101,2,3.0,1.0,,6.0,75.0,2.0,46.67,3.0,15.0,514.0,7.0
102,102,5,3.0,1.0,9.0,,110.0,,20.45,3.0,13.0,,
103,103,2,,1.0,7.0,5.0,100.0,,,6.0,38.0,,7.5
104,104,13,3.0,,,,107.3,,74.56,3.0,9.0,1510.0,10.5
105,105,2,,,,5.0,100.0,,40.9,4.0,45.0,442.0,10.5
106,106,5,2.0,1.0,5.0,,60.0,,16.0,2.0,2.0,,
107,107,2,,1.0,6.0,5.0,115.0,,36.09,6.0,39.0,1612.0,15.0
108,108,2,,1.0,6.0,10.0,200.0,,,5.0,32.0,1523.0,15.0
109,109,2,3.0,1.0,9.0,6.0,83.4,3.0,119.9,1.0,28.0,1072.0,7.5
