,Unnamed: 0.1,Unnamed: 0,index,Name,Point,DistrictPoint,WardPoint,WidthRoad
0,0,0.0,0.0,3/2,-1,-2.0,-20.0,27.5
1,1,1.0,1.0,30/4,-3,-2.0,-16.0,3.75
2,2,2.0,2.0,2/9,-2,-2.0,-12.0,21.0
3,3,3.0,3.0,Phan Đình Giót,-4,,,
4,4,4.0,4.0, Lý Tế Xuyên,-5,,,
5,5,5.0,5.0, Nguyễn Trác,-6,,,
6,6,6.0,6.0, Phạm Thiều,-7,,,
7,7,7.0,7.0, Phan Bội Châu,-8,,,
8,8,8.0,8.0, Phần Lăng 1,-9,,,
9,9,9.0,9.0, Phần Lăng 2,-10,,,
10,10,10.0,10.0, Phần Lăng 3,-11,,,
11,11,11.0,11.0, Phần Lăng 4,-12,,,
12,12,12.0,12.0, Phần Lăng 5,-13,,,
13,13,13.0,13.0, Phong Bắc,-14,,,
14,14,14.0,14.0, Quán Khải 1,-15,,,
15,15,15.0,15.0, Tân An 1,-16,,,
16,16,16.0,16.0, Tân An 3,-17,,,
17,17,17.0,17.0, Tân An2,-18,,,
18,18,18.0,18.0, Tôn Thất Đạm,-19,,,
19,19,19.0,19.0, Triệu Nữ Vương,-20,,,
20,20,20.0,20.0, Văn Cận,-21,,,
21,21,21.0,21.0, Vân Đài Nữ Sĩ,-22,,,
22,22,22.0,22.0, Vũ Ngọc Phan,-23,,,
23,23,23.0,23.0, Xuân Đán 2,-24,,,
24,24,24.0,24.0,Alexandre Yersin (Yersin),-25,,,
25,25,25.0,25.0,An Bắc 2,-26,,,
26,26,26.0,26.0,An Bắc 3,-27,,,
27,27,27.0,27.0,An Cư 1,-41,-1.0,-1.0,3.75
28,28,28.0,28.0,An Cư 2,-43,-1.0,-1.0,3.75
29,29,29.0,29.0,An Cư 3,-28,,,
30,30,30.0,30.0,An Cư 4,-42,-1.0,-10.0,5.5
31,31,31.0,31.0,An Cư 5,-40,-1.0,-10.0,5.5
32,32,32.0,32.0,An Cư 6,-29,,,
33,33,33.0,33.0,An Cư 7,-30,-1.0,-10.0,5.5
34,34,34.0,34.0,An Dương Vương,-36,-3.0,-6.0,15.0
35,35,35.0,35.0,An Đồn 1,-31,,,
36,36,36.0,36.0,An Đồn 2,-32,,,
37,37,37.0,37.0,An Đồn 3,-33,,,
38,38,38.0,38.0,An Đồn 4,-35,-1.0,-10.0,7.5
39,39,39.0,39.0,An Đồn 5,-34,-1.0,-10.0,5.5
40,40,40.0,40.0,An Hải 1,-46,-1.0,-10.0,2.5
41,41,41.0,41.0,An Hải 10,-37,-1.0,-10.0,3.5
42,42,42.0,42.0,An Hải 11,-44,-1.0,-10.0,3.5
43,43,43.0,43.0,An Hải 12,-49,-1.0,-10.0,3.5
44,44,44.0,44.0,An Hải 14,-48,-1.0,-10.0,3.75
45,45,45.0,45.0,An Hải 15,-45,-1.0,-10.0,4.0
46,46,46.0,46.0,An Hải 16,-38,,,
47,47,47.0,47.0,An Hải 17,-47,-1.0,-10.0,4.0
48,48,48.0,48.0,An Hải 18,-39,-1.0,-18.0,4.0
49,49,49.0,49.0,An Hải 19,-50,,,
50,50,50.0,50.0,An Hải 2,-51,,,
51,51,51.0,51.0,An Hải 20,-52,-1.0,-33.0,5.5
52,52,52.0,52.0,An Hải 21,-53,,,
53,53,53.0,53.0,An Hải 3,-55,-1.0,-19.0,5.5
54,54,54.0,54.0,An Hải 4,-54,-1.0,-10.0,5.5
55,55,55.0,55.0,An Hải 5,-69,-1.0,-10.0,3.5
56,56,56.0,56.0,An Hải 6,-57,-1.0,-10.0,3.5
57,57,57.0,57.0,An Hải 7,-56,-1.0,-10.0,5.5
58,58,58.0,58.0,An Hải 8,-58,,,
59,59,59.0,59.0,An Hải 9,-59,,,
60,60,60.0,60.0,An Hải Bắc 1,-60,,,
61,61,61.0,61.0,An Hải Bắc 2,-61,,,
62,62,62.0,62.0,An Hải Bắc 3,-62,,,
63,63,63.0,63.0,An Hải Bắc 4,-63,-1.0,-10.0,7.5
64,64,64.0,64.0,An Hải Bắc 5,-64,,,
65,65,65.0,65.0,An Hải Bắc 6,-65,,,
66,66,66.0,66.0,An Hải Bắc 7,-66,,,
67,67,67.0,67.0,An Hải Bắc 8,-67,-1.0,-10.0,3.75
68,68,68.0,68.0,An Hoà 1,-68,-5.0,-29.0,7.5
69,69,69.0,69.0,An Hoà 10,-70,,,
70,70,70.0,70.0,An Hoà 11,-71,,,
71,71,71.0,71.0,An Hoà 12,-72,,,
72,72,72.0,72.0,An Hoà 2,-73,,,
73,73,73.0,73.0,An Hoà 3,-74,,,
74,74,74.0,74.0,An Hoà 4,-75,,,
75,75,75.0,75.0,An Hoà 5,-76,,,
76,76,76.0,76.0,An Hoà 6,-77,,,
77,77,77.0,77.0,An Hoà 7,-78,,,
78,78,78.0,78.0,An Hoà 8,-79,,,
79,79,79.0,79.0,An Hoà 9,-80,,,
80,80,80.0,80.0,An Nông,-81,,,
81,81,81.0,81.0,An Nhơn 1,-84,-1.0,-10.0,5.5
82,82,82.0,82.0,An Nhơn 10,-83,-1.0,-10.0,3.75
83,83,83.0,83.0,An Nhơn 11,-87,-1.0,-10.0,3.75
84,84,84.0,84.0,An Nhơn 2,-82,-1.0,-10.0,5.5
85,85,85.0,85.0,An Nhơn 3,-85,-1.0,-10.0,5.5
86,86,86.0,86.0,An Nhơn 4,-86,-1.0,-10.0,3.75
87,87,87.0,87.0,An Nhơn 5,-88,,,
88,88,88.0,88.0,An Nhơn 6,-89,,,
89,89,89.0,89.0,An Nhơn 7,-90,-1.0,-10.0,3.5
90,90,90.0,90.0,An Nhơn 8,-91,,,
91,91,91.0,91.0,An Nhơn 9,-115,-1.0,-10.0,3.75
92,92,92.0,92.0,An Tư Công Chúa,-92,-3.0,-6.0,7.5
93,93,93.0,93.0,An Thượng 1,-93,-3.0,-6.0,7.5
94,94,94.0,94.0,An Thượng 10,-108,-3.0,-6.0,5.5
95,95,95.0,95.0,An Thượng 11,-94,,,
96,96,96.0,96.0,An Thượng 12,-116,-3.0,-28.0,3.5
97,97,97.0,97.0,An Thượng 14,-117,-3.0,-6.0,3.5
98,98,98.0,98.0,An Thượng 15,-112,-3.0,-6.0,5.5
99,99,99.0,99.0,An Thượng 16,-119,-3.0,-6.0,3.5
100,100,100.0,100.0,An Thượng 17,-113,-3.0,-6.0,5.5
101,101,101.0,101.0,An Thượng 18,-118,-3.0,-6.0,3.5
102,102,102.0,102.0,An Thượng 19,-127,-3.0,-6.0,3.5
103,103,103.0,103.0,An Thượng 2,-95,-3.0,-6.0,7.5
104,104,104.0,104.0,An Thượng 23,-120,-3.0,-6.0,5.5
105,105,105.0,105.0,An Thượng 24,-124,-3.0,-6.0,5.5
106,106,106.0,106.0,An Thượng 26,-102,-3.0,-6.0,5.5
107,107,107.0,107.0,An Thượng 27,-111,-3.0,-6.0,5.5
108,108,108.0,108.0,An Thượng 28,-97,-3.0,-6.0,5.5
109,109,109.0,109.0,An Thượng 29,-100,-3.0,-6.0,5.5
110,110,110.0,110.0,An Thượng 3,-96,-3.0,-6.0,7.5
111,111,111.0,111.0,An Thượng 30,-101,-3.0,-6.0,5.5
112,112,112.0,112.0,An Thượng 31,-99,-3.0,-6.0,5.5
113,113,113.0,113.0,An Thượng 32,-106,-3.0,-6.0,5.5
114,114,114.0,114.0,An Thượng 33,-104,-3.0,-6.0,5.5
115,115,115.0,115.0,An Thượng 34,-103,-3.0,-6.0,5.5
116,116,116.0,116.0,An Thượng 35,-114,-3.0,-6.0,7.5
117,117,117.0,117.0,An Thượng 36,-105,-3.0,-6.0,7.5
118,118,118.0,118.0,An Thượng 4,-98,-3.0,-6.0,7.5
119,119,119.0,119.0,An Thượng 5,-110,-3.0,-6.0,3.5
120,120,120.0,121.0,An Thượng 6,-109,-3.0,-6.0,5.5
121,121,121.0,122.0,An Thượng 7,-107,-3.0,-6.0,3.5
122,122,122.0,123.0,An Thượng 8,-123,-3.0,-40.0,3.5
123,123,123.0,124.0,An Thượng 9,-121,,,
124,124,124.0,125.0,An Trung 1,-126,-1.0,-8.0,7.5
125,125,125.0,126.0,An Trung 2,-125,-1.0,-8.0,7.5
126,126,126.0,127.0,An Trung 3,-122,-1.0,-8.0,10.5
127,127,127.0,128.0,An Vĩnh,-128,,,
128,128,128.0,129.0,An Xuân 1,-129,,,
129,129,129.0,130.0,An Xuân 2,-130,,,
130,130,130.0,131.0,Anh Thơ,-133,-3.0,-28.0,7.5
131,131,131.0,132.0,Ấp Bắc,-158,-3.0,-42.0,5.5
132,132,132.0,133.0,Ấp Bắc nối dài,-131,,,
133,133,133.0,134.0,Âu Cơ,-135,-6.0,-43.0,8.5
134,134,134.0,135.0,Bà Bang Nhãn,-134,-3.0,-40.0,5.5
135,135,135.0,136.0,Ba Đình,-132,-2.0,-7.0,6.0
136,136,136.0,137.0,Ba Gia,-136,,,
137,137,137.0,138.0,Bá Giáng 1,-137,,,
138,138,138.0,139.0,Bá Giáng 10,-138,,,
139,139,139.0,140.0,Bá Giáng 11,-139,,,
140,140,140.0,141.0,Bá Giáng 2,-140,,,
141,141,141.0,142.0,Bá Giáng 3,-141,,,
142,142,142.0,143.0,Bá Giáng 4,-142,,,
143,143,143.0,144.0,Bá Giáng 5,-160,-3.0,-42.0,5.5
144,144,144.0,145.0,Bá Giáng 6,-143,,,
145,145,145.0,146.0,Bá Giáng 7,-159,-3.0,-42.0,5.5
146,146,146.0,147.0,Bá Giáng 8,-144,,,
147,147,147.0,148.0,Bá Giáng 9,-145,,,
148,148,148.0,149.0,Bà Huyện Thanh Quan,-147,-3.0,-6.0,4.0
149,149,149.0,150.0,Bạch Đằng,-146,-2.0,-12.0,12.0
150,150,150.0,151.0,Bạch Thái Bưởi,-156,-6.0,-43.0,5.5
151,151,151.0,152.0,Bãi Sậy,-148,,,
152,152,152.0,153.0,Bát Nàn Công Chúa,-155,-3.0,-40.0,5.5
153,153,153.0,154.0,Bàu Hạc 1,-154,-4.0,-9.0,5.5
154,154,154.0,155.0,Bàu Hạc 2,-149,,,
155,155,155.0,156.0,Bàu Hạc 3,-150,,,
156,156,156.0,157.0,Bàu Hạc 4,-151,-4.0,-9.0,5.5
157,157,157.0,158.0,Bàu Hạc 5,-153,-4.0,-9.0,3.5
158,158,158.0,159.0,Bàu Hạc 6,-152,-4.0,-9.0,5.5
159,159,159.0,160.0,Bàu Làng,-157,-4.0,-27.0,5.5
160,160,160.0,161.0,Bàu Mạc 1,-161,,,
161,161,161.0,162.0,Bàu Mạc 10,-162,,,
162,162,162.0,163.0,Bàu Mạc 11,-163,,,
163,163,163.0,164.0,Bàu Mạc 12,-164,,,
164,164,164.0,165.0,Bàu Mạc 14,-165,,,
165,165,165.0,166.0,Bàu Mạc 15,-193,-6.0,-43.0,5.5
166,166,166.0,167.0,Bàu Mạc 2,-189,-6.0,-43.0,5.5
167,167,167.0,168.0,Bàu Mạc 3,-166,,,
168,168,168.0,169.0,Bàu Mạc 4,-191,-6.0,-43.0,5.5
169,169,169.0,170.0,Bàu Mạc 5,-190,-6.0,-43.0,5.5
170,170,170.0,171.0,Bàu Mạc 6,-194,-6.0,-46.0,5.5
171,171,171.0,172.0,Bàu Mạc 7,-188,-6.0,-35.0,5.5
172,172,172.0,173.0,Bàu Mạc 8,-192,-6.0,-35.0,5.5
173,173,173.0,174.0,Bàu Mạc 9,-167,,,
174,174,174.0,175.0,Bàu Tràm 1,-181,-5.0,-29.0,5.5
175,175,175.0,176.0,Bàu Tràm 2,-183,-2.0,-16.0,10.0
176,176,176.0,177.0,Bàu Tràm 3,-168,,,
177,177,177.0,178.0,Bàu Tràm Trung,-169,,,
178,178,178.0,179.0,Bàu Trãng 1,-170,,,
179,179,179.0,180.0,Bàu Trãng 2,-171,,,
180,180,180.0,181.0,Bàu Trãng 3,-172,,,
181,181,181.0,182.0,Bàu Trãng 4,-173,,,
182,182,182.0,183.0,Bàu Trãng 5,-174,,,
183,183,183.0,184.0,Bàu Trãng 6,-175,,,
184,184,184.0,185.0,Bàu Trảng 7 (Khu dân cư Thanh Lộc Đán mới ),-176,,,
185,185,185.0,186.0,Bàu Vàng 1,-187,-6.0,-43.0,7.5
186,186,186.0,187.0,Bàu Vàng 2,-177,,,
187,187,187.0,188.0,Bàu Vàng 3,-178,,,
188,188,188.0,189.0,Bàu Vàng 4,-185,-6.0,-43.0,7.5
189,189,189.0,190.0,Bàu Vàng 5,-186,-6.0,-43.0,7.5
190,190,190.0,191.0,Bàu Vàng 6,-179,,,
191,191,191.0,192.0,Bắc Đẩu,-182,-2.0,-15.0,4.5
192,192,192.0,193.0,Bắc Sơn,-184,-5.0,-38.0,14.0
193,193,193.0,194.0,Bế Văn Đàn,-180,-4.0,-22.0,5.5
194,194,194.0,195.0,Bình Giã,-195,,,
195,195,195.0,196.0,Bình Hoà 1,-196,,,
196,196,196.0,197.0,Bình Hoà 10,-197,,,
197,197,197.0,198.0,Bình Hoà 11,-198,,,
198,198,198.0,199.0,Bình Hoà 12,-199,,,
199,199,199.0,200.0,Bình Hòa 14,-200,-5.0,-29.0,3.75
200,200,200.0,201.0,Bình Hoà 2,-201,,,
201,201,201.0,202.0,Bình Hoà 3,-202,,,
202,202,202.0,203.0,Bình Hoà 4,-203,,,
203,203,203.0,204.0,Bình Hoà 5,-204,,,
204,204,204.0,205.0,Bình Hoà 6,-205,,,
205,205,205.0,206.0,Bình Hoà 7,-206,,,
206,206,206.0,207.0,Bình Hoà 8,-207,,,
207,207,207.0,208.0,Bình Hoà 9,-210,-5.0,-29.0,10.5
208,208,208.0,209.0,Bình Kỳ,-232,-3.0,-42.0,5.0
209,209,209.0,210.0,Bình Minh 1,-208,-2.0,-13.0,5.5
210,210,210.0,211.0,Bình Minh 2,-213,-2.0,-13.0,5.5
211,211,211.0,212.0,Bình Minh 3,-209,-2.0,-13.0,5.5
212,212,212.0,213.0,Bình Thái 1,-230,-5.0,-37.0,5.5
213,213,213.0,214.0,Bình Thái 2,-224,-5.0,-37.0,5.5
214,214,214.0,215.0,Bình Thái 3,-227,-5.0,-37.0,5.5
215,215,215.0,216.0,Bùi Bỉnh Uyên,-226,-3.0,-40.0,5.5
216,216,216.0,217.0,Bùi Chát,-231,-6.0,-43.0,5.0
217,217,217.0,218.0,Bùi Hữu Nghĩa,-214,-1.0,-1.0,3.5
